asn,name
3580,Planet Networks
3582,University of Oregon
3584,Pubnix Inc.
3585,TE Connectivity Corporation
3586,University of the West Indies
3587,American Airlines Incorporated
3590,Commonwealth Telephone Co.
3592,Trinity College
3593,Frontier Communications of America Inc.
3595,zColo
3598,Microsoft Corporation
3599,CDW Technologies LLC
3600,Sun Networks Inc.
3601,Interconnected Associates (IXA) Inc.
3606,Connecticut College
3612,Dell Inc.
3613,Dell Inc.
3614,Dell Inc.
3620,Verizon Business
3627,National Radio Astronomy Observatory
3628,NYSERNet
3629,NYSERNET-BLK
3630,NYSERNET-BLK
3633,Province of British Columbia
3634,Stephen F. Austin State University
3635,U.S. Department of Commerce Bureau of Economic Analysis
3653,House of Ben Avraham LLC
3655,General Electric Company
3656,City of Phoenix
3657,TSS Digital Services
3659,Claremont University Consortium
3660,Berry Global Inc
3663,NetNet
3671,SLAC National Accelerator Laboratory
3672,Primus Telecommunications Canada Inc.
3676,University of Iowa
